,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
119,1,Internet,RoundTrip,161,108,2,4,AKLKUL,New Zealand,1,1,0,8.83,0
120,4,Internet,RoundTrip,230,29,17,1,AKLKUL,Malaysia,1,0,1,8.83,0
121,1,Internet,RoundTrip,7,21,0,1,AKLKUL,Indonesia,0,0,0,8.83,0
122,1,Internet,RoundTrip,42,17,14,2,AKLKUL,Malaysia,0,0,0,8.83,1
123,1,Internet,RoundTrip,71,29,10,5,AKLKUL,New Zealand,1,0,0,8.83,0
124,1,Internet,RoundTrip,22,180,13,4,AKLKUL,Malaysia,1,0,0,8.83,1
125,1,Internet,RoundTrip,81,21,4,5,AKLKUL,New Zealand,1,0,0,8.83,0
126,2,Internet,RoundTrip,140,18,7,7,AKLKUL,China,1,0,0,8.83,0
127,1,Mobile,RoundTrip,42,72,14,6,AKLKUL,New Zealand,0,0,1,8.83,0
128,1,Internet,RoundTrip,168,32,2,2,AKLKUL,New Zealand,1,1,0,8.83,0
129,1,Internet,RoundTrip,285,30,12,3,AKLKUL,Czech Republic,1,1,1,8.83,0
130,2,Internet,RoundTrip,179,18,11,4,AKLKUL,Malaysia,1,0,1,8.83,0
131,2,Internet,RoundTrip,341,21,10,6,AKLKUL,New Zealand,1,0,0,8.83,0
132,2,Internet,RoundTrip,96,51,3,4,AKLKUL,New Zealand,1,0,1,8.83,0
133,4,Internet,RoundTrip,173,17,1,4,AKLKUL,New Zealand,1,0,1,8.83,0
134,1,Internet,RoundTrip,180,24,9,3,AKLKUL,New Zealand,0,1,1,8.83,0
135,4,Internet,RoundTrip,366,17,16,7,AKLKUL,Malaysia,1,0,1,8.83,0
136,3,Internet,RoundTrip,229,17,13,1,AKLKUL,Malaysia,1,1,1,8.83,1
137,2,Internet,RoundTrip,174,61,11,2,AKLKUL,Malaysia,1,0,1,8.83,0
138,2,Internet,RoundTrip,82,25,18,5,AKLKUL,Czech Republic,1,0,0,8.83,0
139,1,Internet,RoundTrip,75,62,6,1,AKLKUL,Malaysia,0,0,0,8.83,0
140,2,Internet,RoundTrip,163,21,10,1,AKLKUL,New Zealand,1,0,0,8.83,0
141,1,Internet,RoundTrip,105,21,8,5,AKLKUL,New Zealand,1,0,0,8.83,0
142,2,Internet,RoundTrip,276,45,6,1,AKLKUL,New Zealand,1,0,1,8.83,0
143,1,Internet,RoundTrip,35,31,3,4,AKLKUL,New Zealand,1,0,0,8.83,0
144,1,Internet,RoundTrip,110,26,23,3,AKLKUL,New Zealand,1,0,0,8.83,0
145,1,Internet,RoundTrip,83,44,3,6,AKLKUL,Malaysia,1,0,0,8.83,0
146,1,Mobile,RoundTrip,154,25,22,1,AKLKUL,Malaysia,1,0,0,8.83,0
147,1,Internet,RoundTrip,118,19,1,2,AKLKUL,New Zealand,1,0,1,8.83,0
148,1,Internet,RoundTrip,55,20,22,3,AKLKUL,New Zealand,0,0,0,8.83,0
149,1,Mobile,RoundTrip,45,35,1,6,AKLKUL,New Zealand,0,0,0,8.83,0
150,1,Internet,RoundTrip,54,23,4,7,AKLKUL,New Zealand,0,0,1,8.83,0
151,1,Internet,RoundTrip,193,19,13,2,AKLKUL,Malaysia,0,0,0,8.83,0
152,1,Internet,RoundTrip,10,91,23,2,AKLKUL,Singapore,1,0,0,8.83,1
153,1,Internet,RoundTrip,166,18,20,3,AKLKUL,New Zealand,1,0,1,8.83,0
154,1,Internet,RoundTrip,97,25,9,7,AKLKUL,Malaysia,1,0,0,8.83,0
155,5,Internet,RoundTrip,239,17,12,4,AKLKUL,Malaysia,1,0,1,8.83,0
156,2,Internet,RoundTrip,97,50,8,6,AKLKUL,New Zealand,1,1,1,8.83,0
157,1,Internet,RoundTrip,182,28,10,7,AKLKUL,Vietnam,0,0,1,8.83,0
158,1,Internet,RoundTrip,99,21,13,7,AKLKUL,Singapore,0,0,0,8.83,1
159,1,Internet,RoundTrip,23,59,9,2,AKLKUL,New Zealand,1,0,1,8.83,0
160,1,Mobile,RoundTrip,53,18,9,1,AKLKUL,Malaysia,1,1,0,8.83,0
161,1,Internet,RoundTrip,28,125,12,6,AKLKUL,Malaysia,0,0,0,8.83,0
162,1,Internet,RoundTrip,384,18,5,4,AKLKUL,Malaysia,0,0,0,8.83,0
163,2,Internet,RoundTrip,22,27,23,5,AKLKUL,New Zealand,1,0,1,8.83,0
164,1,Internet,RoundTrip,70,106,3,4,AKLKUL,Malaysia,1,0,1,8.83,0
165,1,Internet,RoundTrip,126,28,20,7,AKLKUL,Germany,1,0,0,8.83,0
166,1,Internet,RoundTrip,8,45,8,2,AKLKUL,Malaysia,0,0,0,8.83,0
167,2,Internet,RoundTrip,51,29,11,7,AKLKUL,New Zealand,1,0,1,8.83,0
168,1,Internet,RoundTrip,142,124,9,3,AKLKUL,Malaysia,1,0,0,8.83,1
169,1,Internet,RoundTrip,87,33,9,6,AKLKUL,Thailand,1,0,0,8.83,0
170,5,Mobile,RoundTrip,238,21,8,5,AKLKUL,New Zealand,1,1,1,8.83,0
171,2,Internet,RoundTrip,86,34,0,6,AKLKUL,New Zealand,1,0,0,8.83,0
172,1,Mobile,RoundTrip,313,35,20,6,AKLKUL,New Zealand,1,0,0,8.83,0
173,2,Internet,RoundTrip,41,20,20,7,AKLKUL,Spain,1,1,1,8.83,0
174,1,Internet,RoundTrip,91,46,8,3,AKLKUL,New Zealand,1,1,1,8.83,0
175,1,Mobile,RoundTrip,41,21,12,2,AKLKUL,Malaysia,1,0,0,8.83,0
176,1,Internet,RoundTrip,82,33,10,2,AKLKUL,New Zealand,1,0,0,8.83,0
177,5,Internet,RoundTrip,206,17,13,7,AKLKUL,Malaysia,1,0,0,8.83,0
178,4,Internet,RoundTrip,6,55,5,4,AKLKUL,New Zealand,1,1,0,8.83,0
179,5,Internet,RoundTrip,197,18,10,5,AKLKUL,Malaysia,1,0,1,8.83,0
180,1,Internet,RoundTrip,34,22,13,2,AKLKUL,Malaysia,1,0,1,8.83,1
181,2,Internet,RoundTrip,112,21,17,2,AKLKUL,Malaysia,1,0,0,8.83,0
182,2,Internet,RoundTrip,268,47,1,1,AKLKUL,New Zealand,1,0,1,8.83,0
183,1,Internet,RoundTrip,157,26,15,1,AKLKUL,Romania,1,0,1,8.83,0
184,2,Internet,RoundTrip,145,51,4,3,AKLKUL,Malaysia,1,1,1,8.83,0
185,4,Internet,RoundTrip,241,24,9,1,AKLKUL,New Zealand,0,0,0,8.83,0
186,1,Internet,RoundTrip,172,17,9,5,AKLKUL,Ireland,0,0,1,8.83,0
187,1,Internet,RoundTrip,99,19,7,3,AKLKUL,Malaysia,0,0,0,8.83,0
188,1,Mobile,RoundTrip,139,22,8,7,AKLKUL,New Zealand,1,0,1,8.83,0
189,1,Internet,RoundTrip,59,35,13,7,AKLKUL,Malaysia,0,1,0,8.83,1
190,1,Internet,RoundTrip,396,23,9,1,AKLKUL,New Zealand,1,0,1,8.83,0
191,2,Internet,RoundTrip,280,18,23,2,AKLKUL,Malaysia,1,0,1,8.83,0
192,1,Internet,RoundTrip,79,23,10,2,AKLKUL,Malaysia,0,0,0,8.83,0
193,1,Internet,RoundTrip,37,26,21,3,AKLKUL,New Zealand,1,0,0,8.83,0
194,2,Internet,RoundTrip,69,19,17,6,AKLKUL,Italy,1,0,0,8.83,0
195,1,Internet,RoundTrip,380,21,21,4,AKLKUL,New Zealand,1,1,0,8.83,0
196,1,Internet,RoundTrip,13,27,1,3,AKLKUL,New Zealand,1,0,1,8.83,0
197,1,Internet,RoundTrip,229,31,2,5,AKLKUL,New Zealand,0,0,1,8.83,0
198,1,Internet,RoundTrip,132,20,9,1,AKLKUL,Slovakia,1,0,0,8.83,0
199,4,Internet,RoundTrip,121,18,6,7,AKLKUL,Malaysia,1,1,1,8.83,0
200,4,Internet,RoundTrip,316,22,14,4,AKLKUL,Malaysia,1,0,0,8.83,1
201,5,Internet,RoundTrip,67,35,2,2,AKLKUL,Malaysia,1,1,1,8.83,1
202,1,Internet,RoundTrip,419,21,16,7,AKLKUL,Malaysia,1,0,0,8.83,0
203,2,Internet,RoundTrip,18,46,2,1,AKLKUL,Malaysia,0,0,0,8.83,0
204,1,Internet,RoundTrip,58,21,12,3,AKLKUL,United Arab Emirates,1,0,1,8.83,0
205,2,Internet,RoundTrip,115,87,6,3,AKLKUL,Tonga,0,0,0,8.83,0
206,1,Internet,RoundTrip,236,91,6,5,AKLKUL,Malaysia,1,0,1,8.83,0
207,1,Internet,RoundTrip,225,25,6,2,AKLKUL,Germany,1,1,0,8.83,1
208,1,Internet,RoundTrip,116,56,15,4,AKLKUL,Malaysia,1,0,0,8.83,0
209,1,Internet,RoundTrip,34,90,7,6,AKLKUL,Malaysia,1,1,0,8.83,0
210,1,Internet,RoundTrip,191,60,11,7,AKLKUL,Germany,1,0,1,8.83,0
211,1,Internet,RoundTrip,55,22,7,6,AKLKUL,New Zealand,1,0,0,8.83,0
212,1,Mobile,RoundTrip,53,180,2,6,AKLKUL,New Zealand,1,0,0,8.83,0
213,1,Internet,RoundTrip,13,17,3,7,AKLKUL,New Zealand,0,0,0,8.83,0
214,1,Internet,RoundTrip,275,36,4,3,AKLKUL,New Zealand,1,1,0,8.83,0
215,1,Internet,RoundTrip,58,17,7,7,AKLKUL,New Zealand,1,0,1,8.83,0
216,2,Internet,RoundTrip,45,25,1,1,AKLKUL,New Zealand,0,0,0,8.83,0
217,2,Internet,RoundTrip,417,22,4,7,AKLKUL,New Zealand,1,0,1,8.83,0
218,2,Internet,RoundTrip,159,21,8,5,AKLKUL,New Zealand,1,0,0,8.83,0
219,2,Internet,RoundTrip,173,40,8,7,AKLKUL,New Zealand,0,0,0,8.83,0
220,2,Internet,RoundTrip,92,65,13,1,AKLKUL,Réunion,1,0,0,8.83,0
221,1,Internet,RoundTrip,106,208,4,4,AKLKUL,Japan,1,0,0,8.83,0
222,3,Internet,RoundTrip,316,35,16,2,AKLKUL,Malaysia,0,0,0,8.83,0
223,2,Internet,RoundTrip,245,27,11,1,AKLKUL,New Zealand,0,0,0,8.83,1
224,3,Internet,RoundTrip,218,21,8,2,AKLKUL,New Zealand,0,0,0,8.83,0
225,1,Internet,RoundTrip,96,106,1,7,AKLKUL,New Zealand,1,1,1,8.83,0
226,1,Internet,RoundTrip,67,22,11,1,AKLKUL,Malaysia,0,0,0,8.83,0
227,1,Internet,RoundTrip,145,204,16,5,AKLKUL,Malaysia,1,1,1,8.83,0
228,1,Internet,RoundTrip,295,18,6,1,AKLKUL,Malaysia,0,0,0,8.83,0
229,1,Internet,RoundTrip,57,51,3,3,AKLKUL,New Zealand,1,0,1,8.83,0
230,1,Mobile,RoundTrip,12,20,8,2,AKLKUL,New Zealand,1,0,0,8.83,0
231,3,Internet,RoundTrip,77,31,0,4,AKLKUL,New Zealand,1,0,0,8.83,0
232,2,Internet,RoundTrip,7,83,16,2,AKLKUL,Malaysia,1,0,1,8.83,0
233,1,Mobile,RoundTrip,305,18,3,3,AKLKUL,New Zealand,0,0,0,8.83,0
234,2,Internet,RoundTrip,235,18,22,2,AKLKUL,Malaysia,1,0,1,8.83,1
235,1,Internet,RoundTrip,332,17,11,6,AKLKUL,New Zealand,0,0,0,8.83,0
236,1,Internet,RoundTrip,3,35,6,2,AKLKUL,New Zealand,1,0,0,8.83,0
237,2,Internet,RoundTrip,56,42,4,4,AKLKUL,Malaysia,1,0,1,8.83,1
238,2,Internet,RoundTrip,125,85,15,4,AKLKUL,Malaysia,1,0,0,8.83,0
239,1,Internet,RoundTrip,86,21,2,6,AKLKUL,Malaysia,1,0,0,8.83,0
240,2,Internet,RoundTrip,204,24,6,1,AKLKUL,New Zealand,1,1,0,8.83,0
241,1,Internet,RoundTrip,310,44,13,2,AKLKUL,New Zealand,1,0,1,8.83,0
242,1,Internet,RoundTrip,115,20,7,1,AKLKUL,New Zealand,1,0,0,8.83,0
243,1,Internet,RoundTrip,57,24,12,4,AKLKUL,New Zealand,1,0,0,8.83,0
244,4,Internet,RoundTrip,368,36,16,7,AKLKUL,Malaysia,0,0,0,8.83,0
245,1,Internet,RoundTrip,59,37,15,7,AKLKUL,Malaysia,0,0,0,8.83,0
246,1,Internet,RoundTrip,6,21,21,7,AKLKUL,New Zealand,0,0,0,8.83,0
247,3,Internet,RoundTrip,67,22,7,3,AKLKUL,Vietnam,1,1,0,8.83,0
248,1,Internet,RoundTrip,169,22,9,6,AKLKUL,New Zealand,1,0,0,8.83,0
249,1,Internet,RoundTrip,214,38,12,4,AKLKUL,Malaysia,0,0,0,8.83,0
250,1,Internet,RoundTrip,5,19,14,4,AKLKUL,Malaysia,1,0,0,8.83,0
251,2,Internet,RoundTrip,173,64,14,4,AKLKUL,Malaysia,0,0,0,8.83,0
252,1,Internet,RoundTrip,7,22,7,1,AKLKUL,New Zealand,1,0,0,8.83,0
253,1,Internet,RoundTrip,196,86,3,7,AKLKUL,New Zealand,1,0,0,8.83,0
254,2,Internet,RoundTrip,155,24,7,7,AKLKUL,New Zealand,1,0,0,8.83,0
255,1,Internet,RoundTrip,245,19,9,6,AKLKUL,New Zealand,0,0,0,8.83,0
256,1,Mobile,RoundTrip,22,82,10,5,AKLKUL,Malaysia,1,1,1,8.83,1
257,1,Internet,RoundTrip,325,22,4,3,AKLKUL,Malaysia,1,0,0,8.83,0
258,1,Internet,OneWay,6,1,23,7,AKLKUL,New Zealand,1,0,0,8.83,0
259,2,Internet,RoundTrip,130,18,10,1,AKLKUL,New Zealand,0,0,0,8.83,0
260,1,Internet,RoundTrip,218,17,2,5,AKLKUL,Malaysia,1,0,1,8.83,1
261,1,Internet,RoundTrip,189,35,8,7,AKLKUL,Malaysia,1,0,0,8.83,0
262,1,Internet,RoundTrip,35,41,15,4,AKLKUL,Malaysia,1,1,1,8.83,0
263,1,Internet,RoundTrip,189,60,8,2,AKLKUL,New Zealand,0,1,1,8.83,0
264,4,Internet,RoundTrip,226,17,6,7,AKLKUL,Malaysia,1,0,0,8.83,0
265,1,Internet,RoundTrip,122,30,13,4,AKLKUL,India,1,0,0,8.83,0
266,2,Internet,RoundTrip,88,30,8,3,AKLKUL,Malaysia,1,0,1,8.83,0
267,4,Internet,RoundTrip,211,21,10,5,AKLKUL,Malaysia,1,0,0,8.83,1
268,1,Internet,RoundTrip,259,82,9,7,AKLKUL,Malaysia,1,0,1,8.83,1
269,5,Internet,RoundTrip,188,17,12,4,AKLKUL,Malaysia,1,0,1,8.83,1
270,1,Internet,RoundTrip,129,25,9,1,AKLKUL,New Zealand,1,0,1,8.83,0
271,2,Internet,RoundTrip,190,69,21,4,AKLKUL,New Zealand,1,0,0,8.83,0
272,1,Internet,RoundTrip,172,54,8,2,AKLKUL,Malaysia,1,1,1,8.83,0
273,1,Internet,RoundTrip,149,17,4,1,AKLKUL,New Zealand,1,0,1,8.83,0
274,1,Internet,RoundTrip,15,28,7,7,AKLKUL,Saudi Arabia,0,0,0,8.83,1
275,4,Internet,RoundTrip,38,17,4,7,AKLKUL,Malaysia,0,0,0,8.83,0
276,1,Mobile,RoundTrip,8,238,5,5,AKLKUL,New Zealand,1,1,0,8.83,0
277,1,Internet,RoundTrip,214,23,8,7,AKLKUL,New Zealand,1,1,0,8.83,0
278,1,Internet,RoundTrip,14,275,3,3,AKLKUL,Singapore,1,0,1,8.83,1
279,2,Internet,RoundTrip,9,84,13,5,AKLKUL,Malaysia,1,1,1,8.83,0
280,1,Internet,RoundTrip,70,20,14,6,AKLKUL,Malaysia,0,0,0,8.83,0
281,3,Internet,RoundTrip,35,17,3,7,AKLKUL,Malaysia,1,0,1,8.83,0
282,4,Internet,RoundTrip,53,42,23,6,AKLKUL,New Zealand,1,0,1,8.83,0
283,1,Internet,RoundTrip,77,28,15,3,AKLKUL,Malaysia,1,1,0,8.83,0
284,2,Internet,RoundTrip,259,39,21,4,AKLKUL,New Zealand,1,0,1,8.83,0
285,1,Internet,RoundTrip,106,27,7,7,AKLKUL,Malaysia,0,0,0,8.83,0
286,1,Internet,RoundTrip,194,86,3,7,AKLKUL,New Zealand,1,0,1,8.83,0
287,1,Internet,RoundTrip,134,26,15,3,AKLKUL,Malaysia,1,0,0,8.83,0
288,1,Internet,RoundTrip,3,36,16,7,AKLKUL,Malaysia,0,0,1,8.83,1
289,1,Internet,RoundTrip,149,17,2,4,AKLKUL,New Zealand,1,0,1,8.83,0
